date,erg_in_contract,sigusd_circulating,erg_price,reserves_usd,reserve_ratio,mint_available,redeem_available
2021-06-06,1506186.708232449,3558285.3,10.011356629395118,15078972.286569739,4.2377074953966565,True,True
2021-06-07,1457286.327410346,2926735.3,9.93591892519622,14479478.79994615,4.947314094290027,True,True
2021-06-08,1536529.381994206,3657819.3,9.561209733702816,14691079.683243373,4.0163492174814035,True,True
2021-06-09,1542292.758715674,3320939.7,8.818766046608063,13601119.01449127,4.0955633775859495,True,True
2021-06-10,1559561.907009852,3451139.7,9.98801082310105,15576921.206510514,4.513558580810424,True,True
2021-06-11,1584285.343995018,3447523.2,8.886063450273632,14078060.090078317,4.083528746109183,True,True
2021-06-12,1531952.221821123,3065423.2,9.406517597789549,14410335.533533191,4.700928580932378,True,True
2021-06-13,1547967.275279563,3177223.2,8.933257961596135,13828390.986181432,4.35235113044039,True,True
2021-06-14,1553111.745625228,3177156.7,9.725225205902712,15104361.496138027,4.7540499013278215,True,True
2021-06-15,1545713.177320626,3067156.7,9.423983144982008,14566774.930046167,4.749276399880765,True,True
2021-06-17,1545410.088912408,3039156.7,8.803673268785893,13605285.489070198,4.4766646909223855,True,True
2021-06-18,1596472.332746416,3473157.7,8.725110318609262,13929397.223819954,4.010585878038292,True,True
2021-06-19,1596920.73175288,3398587.7,7.919696941159744,12647128.234537862,3.7212893563222926,False,True
2021-06-20,1617693.274435093,3392488.7,8.005758089423116,12950861.018014114,3.817510436516447,False,True
2021-06-21,1631108.120591162,3390488.7,8.028737499238659,13095738.933102954,3.8624930185146917,False,True
2021-06-22,1668518.961451411,3390488.7,6.301985144282094,10514981.70801978,3.101317431914691,False,True
2021-06-23,1651504.744884947,2955988.7,5.962957739761697,9847853.000764862,3.331492099670361,False,True
2021-06-24,1659461.344816355,2869788.7,6.387610977619711,10599993.503084518,3.6936494673229836,False,True
2021-06-25,1661628.936785033,2869788.7,6.636644260297375,11027640.14605842,3.8426662374335847,False,True
2021-06-26,1663462.486101382,2868588.7,6.108392431091404,10161081.65950617,3.542188414639634,False,True
2021-06-27,1663806.933798225,2868088.7,5.977703335757175,9945744.258221567,3.4677254780235933,False,True
2021-06-28,1664406.992887509,2868063.7,6.261316281602903,10421378.603780286,3.633593843742134,False,True
2021-06-29,1667238.446519678,2867863.7,6.15526880878615,10262300.80667165,3.5783781518876396,False,True
2021-06-30,1670272.573435046,2854900.84,6.742220817759254,11261346.515946088,3.9445666056639954,False,True
2021-07-01,1670153.33196005,2832900.84,6.40510095097124,10697500.694805102,3.7761648920987656,False,True
2021-07-02,1662785.574835558,2832900.84,7.043482535154656,11711801.156061348,4.13420794356549,True,True
2021-07-03,1670996.674430517,2889900.84,7.491405645877003,12518113.921070471,4.331675934275472,True,True
2021-07-04,1668615.097884391,2889490.84,7.403442021578003,12353495.133516792,4.275319015552509,True,True
2021-07-05,1660995.44719499,2834490.84,7.197951212666965,11955764.193371486,4.217958310061601,True,True
2021-07-06,1666828.528246037,2884890.84,6.905903989552586,11510957.783114372,3.9900843468705984,False,True
2021-07-07,1662550.654708807,2853180.84,6.912178961836348,11491847.658465462,4.027731960538983,True,True
2021-07-08,1655373.580694651,2802820.84,6.728938747473884,11138907.428680824,3.9741774678258865,False,True
2021-07-09,1663160.573201327,2802720.84,6.181282459395432,10280465.278287414,3.668030412293011,False,True
2021-07-10,1679181.360831122,2802420.84,6.124970782497561,10284936.773605116,3.6700186591551027,False,True
2021-07-11,1679500.175918342,2802420.84,6.261829136392632,10516743.136142025,3.7527351302961427,False,True
2021-07-12,1689289.841661867,2802165.84,6.2329977563926535,10529339.792975318,3.757571961899057,False,True
2021-07-13,1689807.015746921,2802015.84,5.99815915844524,10135731.427507415,3.617299832076401,False,True
2021-07-14,1703643.283408572,2801760.84,5.758690431493122,9810754.274842467,3.5016387318920725,False,True
2021-07-15,1722597.231829206,2801760.84,5.86450311733666,10102176.83597788,3.6056528065321523,False,True
2021-07-16,1724212.039152584,2801760.84,5.4201964613889215,9345567.993299013,3.3356051879499513,False,True
2021-07-17,1743515.33386922,2801760.84,5.20134081547353,9068617.468457932,3.2367564493684378,False,True
