date,erg_price,strategy,regime,sigmausd_ratio,erg_reserves,sigusd_reserves,total_usd,reserve_ratio,interventions,accum_path,window
2025-03-04,0.9674428016223382,B_70_30,uip001,3.8971359380590775,4616.122491427553,9585.506359435281,14051.34083517384,0.1405134083517384,1,none,hypothetical_full
2025-03-05,1.036581879297021,B_70_30,uip001,5.04637328244594,4616.168652652467,9585.506359435281,14370.543136553773,0.14370543136553773,0,none,hypothetical_full
2025-03-06,1.0815866787406356,B_70_30,uip001,5.008984810272581,4616.214814338994,9585.506359435281,14578.342808829515,0.14578342808829514,0,none,hypothetical_full
2025-03-07,0.9880110815504112,B_70_30,uip001,4.0790958848472485,4616.260976487138,9558.141131086977,14119.058131184991,0.14119058131184992,1,none,hypothetical_full
2025-03-08,0.8963420617657086,B_70_30,uip001,3.769677791218718,4616.307139096903,9533.314637799098,13671.104896600977,0.13671104896600977,1,none,hypothetical_full
2025-03-09,0.8806954023374551,B_70_30,uip001,4.384088544278337,4616.353302168293,9533.314637799098,13598.915766584043,0.13598915766584044,0,none,hypothetical_full
2025-03-10,0.7807565863914835,B_70_30,uip001,3.5781453163080297,4616.399465701315,9511.68914832443,13115.973436584858,0.13115973436584857,1,none,hypothetical_full
2025-03-11,0.6763668452150314,B_70_30,uip001,3.1333063966359065,4616.4456296959725,9492.954871067219,12615.365637731404,0.12615365637731404,1,none,hypothetical_full
2025-03-12,0.765822009812697,B_70_30,uip001,3.552222189433338,4616.491794152269,9492.954871067219,13028.365895148732,0.13028365895148733,0,none,hypothetical_full
2025-03-13,0.7822907459127879,B_70_30,uip001,3.9329438702738564,4616.5379590702105,9492.954871067219,13104.429794602953,0.13104429794602954,0,none,hypothetical_full
2025-03-14,0.7825312841859428,B_70_30,uip001,3.9660073438711287,4616.5841244498015,9492.954871067219,13105.576374525357,0.13105576374525357,0,none,hypothetical_full
2025-03-15,0.8322087528075964,B_70_30,uip001,4.590769148203864,4616.630290291046,9492.954871067219,13334.955007124103,0.13334955007124102,0,none,hypothetical_full
2025-03-16,0.8380189869319027,B_70_30,uip001,4.621280471390705,4616.676456593948,9492.954871067219,13361.817398214445,0.13361817398214446,0,none,hypothetical_full
