height,sigusd_balance_raw
1641160,9999972494019
1641134,9999972614019
1641134,9999972614019
1641134,9999972614019
1641105,9999973364019
1641080,9999973415219
1641038,9999973465719
1640978,9999973486881
1640883,9999973495176
1640863,9999973496942
1640851,9999973511854
1640727,9999973522522
1640607,9999973622622
1640284,9999973722822
1640216,9999973822922
1640161,9999973972922
1640160,9999973974194
1640155,9999973997479
1640084,9999974004063
1639774,9999974204143
1639764,9999973882874
1639763,9999973881363
1639762,9999973879968
1639759,9999973877177
1639748,9999973874152
1639741,9999973848242
1639739,9999973811635
1639738,9999973809987
1639737,9999973808692
1639735,9999973807161
1639733,9999973805394
1639724,9999973801858
1639673,9999973796858
1639405,9999973996858
1639402,9999973994962
1639400,9999973993445
1639389,9999973978757
1639383,9999973975587
1639382,9999973973684
1639379,9999973972415
1639375,9999973970638
1638961,9999973957802
1638961,9999973957802
1638958,9999973668088
1638955,9999973484288
1638955,9999973484288
1638955,9999973484288
1638952,9999972937708
1638932,9999972744708
1638236,9999972644708
1638228,9999972834708
1638228,9999972834708
1638228,9999972834708
1638225,9999973534708
1638225,9999973534708
1638205,9999973734708
1638063,9999973756969
1638050,9999973777251
1638036,9999973779425
1637998,9999973792299
1637974,9999973794329
1637894,9999973795953
1637893,9999973798111
1637890,9999973800269
1637884,9999973802427
1637841,9999973804720
1637820,9999974055220
1637812,9999974070159
1637769,9999974071905
1637751,9999974073237
1637744,9999974074835
1637734,9999974092146
1637731,9999974111914
1637728,9999974113502
1637726,9999974115090
1637713,9999974128062
1637711,9999974130832
1637708,9999974133602
1637689,9999974150618
1637682,9999974172258
1637680,9999974216370
1637678,9999974218318
1637672,9999974238318
1637670,9999974239610
1637668,9999974240902
1637662,9999974262225
1637660,9999974288974
1637658,9999974293325
1637657,9999974297676
1637656,9999974302027
1637543,9999974306378
1636322,9999974317260
1636148,9999974217260
1636005,9999974117260
1635998,9999974017260
1635995,9999974015707
1635960,9999973865787
1635954,9999973862756
1635953,9999973861422
1635950,9999973859845
1635948,9999973858389
1635946,9999973857054
1635944,9999973855233
1635943,9999973853290
1635937,9999973842591
1635885,9999973841009
1635884,9999973839152
1635883,9999973837542
1635882,9999973835436
1635852,9999973825391
1634981,9999973811701
1634977,9999973807301
1634976,9999973805033
1634756,9999973787123
1634005,9999973787223
1633996,9999973627208
1633796,9999973607113
1633706,9999973537038
1633697,9999973519114
1633693,9999973515581
1633681,9999973513743
1633662,9999973499016
1633614,9999973495329
1633442,9999973491072
1633364,9999973494072
1633344,9999973475876
1633102,9999973472676
1632860,9999973470964
1632859,9999973670994
1632589,9999973673296
1632557,9999973586884
1632556,9999973585429
1632555,9999973583709
1632554,9999973582121
1632553,9999973580135
1632540,9999973551988
1632419,9999973543735
1632348,9999973433735
1632346,9999973431586
1632345,9999973414998
1632343,9999973413603
1632341,9999973411954
1632340,9999973409543
1632338,9999973407639
1632326,9999973393153
1632319,9999973390614
1632309,9999973381083
1632307,9999973379320
1632018,9999973294839
1632004,9999973292456
1631522,9999973255867
1631513,9999973233742
1631510,9999973218988
1631508,9999973217473
1631507,9999973216084
1631506,9999973214442
1631505,9999973212926
1631504,9999973211536
1631503,9999973209640
1631502,9999973194066
1631500,9999973192164
1631498,9999973190642
1631496,9999973188612
1631494,9999973187216
1631453,9999973169419
1631451,9999972969419
1631440,9999972534019
1631435,9999972066784
1631415,9999971774025
1631407,9999971764405
1631404,9999971738757
1631392,9999971730514
1631390,9999971728648
1631331,9999971715317
1631326,9999971777596
1631324,9999971779513
1631323,9999971781430
1631320,9999971898112
1631319,9999971899781
1631319,9999971899781
1631317,9999971996884
1631316,9999971998553
1631316,9999971998553
1631315,9999972170028
1631313,9999972226150
1631311,9999972336150
1631308,9999972500468
1631305,9999972516679
1631302,9999972706679
1631296,9999972792517
1631291,9999972856649
1631289,9999973046649
1631289,9999973046649
1631289,9999973046649
1631285,9999973153162
1631283,9999973263162
1631269,9999973317646
1631268,9999973667646
1630392,9999973967646
1630333,9999973965317
1630216,9999973962524
1630214,9999973926030
1630212,9999973922510
1630211,9999973920397
1630204,9999973897524
1630201,9999973875562
1630197,9999973863059
1630192,9999973826470
1630191,9999973824327
1630185,9999973801710
1629891,9999973783896
1629889,9999973736897
1629888,9999973734578
1629887,9999973622561
1629825,9999973577036
1629819,9999973586943
1629818,9999973588616
1629816,9999973590289
1629814,9999973591962
1629813,9999973593494
1629811,9999973595026
1629809,9999973602973
1629807,9999973605064
1629805,9999973607155
1629803,9999973609246
1629802,9999973611198
1629800,9999973613150
1629798,9999973658615
1629796,9999973692816
1629796,9999973692816
1629792,9999973865915
1629791,9999973867452
1629789,9999973899313
1629786,9999973920973
1629785,9999973955001
1629783,9999973987216
1629781,9999973988889
1629777,9999974049554
1629533,9999974126976
1629529,9999974082679
1629433,9999974067940
1629432,9999974065928
1629431,9999974064203
1629430,9999974062190
1629423,9999974057874
1629299,9999974054995
1629186,9999974033995
1629061,9999974018570
1629050,9999974016694
1629045,9999974014673
1629031,9999974012507
1629027,9999973991961
1629020,9999973981764
1629016,9999973944409
1629012,9999973940618
1628994,9999973934489
1628946,9999973922760
1628801,9999973892760
1628775,9999973862760
1627845,9999973862751
1627336,9999973737751
1627304,9999973739946
1627297,9999973743748
1627263,9999973749295
1627253,9999973767195
1627146,9999973768793
1627145,9999973770669
1627143,9999973772545
1627141,9999973774421
1627140,9999973776297
1627134,9999973827107
1625421,9999973842189
1625390,9999973863499
1625380,9999973899240
1625378,9999973901472
1625376,9999973903704
1625340,9999973905936
1625256,9999973907869
1625216,9999974011369
1625214,9999974013892
1625189,9999974016415
1625187,9999974018343
1625185,9999974020271
1625184,9999974022052
1625177,9999974023833
1625119,9999974038975
1625117,9999974040454
1625115,9999974043412
1625109,9999974046370
1625070,9999974049028
1625068,9999974053747
1625066,9999974058466
1625064,9999974082063
1625062,9999974083824
1624787,9999974091162
1624775,9999974091172
1623976,9999974091072
1623960,9999974092008
1623320,9999974072596
1623280,9999974175596
1623278,9999974177596
1623277,9999974179596
1623275,9999974181596
1623261,9999974183596
1623248,9999974286096
1623140,9999974290515
1623138,9999974293364
1623137,9999974296213
1623109,9999974299062
1622820,9999974300812
1622806,9999974302378
1622804,9999974303943
1622801,9999974305651
1622800,9999974307359
1622767,9999974310633
1622760,9999974347608
1622759,9999974349439
1622757,9999974351270
1622736,9999974353101
1622108,9999974364068
1621998,9999974466068
1621966,9999974548015
1621236,9999974732295
1621129,9999974730555
1620957,9999974680649
1620876,9999974610924
1620524,9999974608546
1620461,9999974104742
1620400,9999974104709
1620348,9999974104661
1620342,9999974102905
1620329,9999974098952
1619689,9999969569355
1619439,9999969312275
1619438,9999969309812
1619413,9999969295304
1619367,9999969293416
1619365,9999969291818
1619364,9999969289929
1619362,9999969288185
1619355,9999969286004
1619351,9999969271734
1619348,9999969269693
1619346,9999969268089
1619115,9999969264296
1619113,9999969262381
1619112,9999969260318
1619104,9999969238023
1619099,9999969235952
1619092,9999969197671
1619087,9999969193503
1619039,9999969182773
1619029,9999969179315
1618872,9999969177059
1618860,9999969163655
1618856,9999969159885
1618833,9999969154754
1618828,9999969139942
1618826,9999969137975
1618624,9999969134191
1618623,9999969132071
1618616,9999969113716
1618589,9999969111285
1618582,9999969099573
1618016,9999969097594
1618007,9999969017528
1617999,9999967900028
1617996,9999967862933
1617995,9999968270233
1617994,9999968268381
1617993,9999968266683
1617982,9999968244563
1617977,9999968222215
1617970,9999968204627
1617961,9999968202133
1617959,9999968200106
1617956,9999968183868
1617954,9999968181836
1617953,9999968179960
1617938,9999968158029
1617934,9999968155361
