snapped_at,price,market_cap,total_volume
2024-12-06 00:00:00 UTC,2.042320567671731,160578047.83014268,726652.870506442
2024-12-07 00:00:00 UTC,2.1842418158508594,172247979.0589094,668481.4485307834
2024-12-08 00:00:00 UTC,2.1799951231867927,170359776.02163425,585461.0143970773
2024-12-09 00:00:00 UTC,2.081674893359505,163764325.62977976,619654.5198131382
2024-12-10 00:00:00 UTC,1.862216613637953,146538815.5390073,826622.4874935931
2024-12-11 00:00:00 UTC,1.8163176276347606,143127861.63939825,691343.2534547175
2024-12-12 00:00:00 UTC,1.9228357906693134,151496884.2062666,658380.5893867867
2024-12-13 00:00:00 UTC,1.9396643174748394,152846108.22440735,681552.0632953123
2024-12-14 00:00:00 UTC,1.931956468929573,151929410.44650537,564696.9507888019
2024-12-15 00:00:00 UTC,1.8875024580263926,148860912.76242757,301149.3925094083
2024-12-16 00:00:00 UTC,2.000399163149049,157815396.7739258,541505.4426045896
2024-12-17 00:00:00 UTC,2.0361702653409015,160653082.8024504,581041.4410035781
2024-12-18 00:00:00 UTC,1.8972357646515046,149898112.65097925,296025.73071159946
2024-12-19 00:00:00 UTC,1.8634579942859266,147235486.9842313,481420.4150451049
2024-12-20 00:00:00 UTC,1.722882204231753,136031495.70969927,416094.35286384943
2024-12-21 00:00:00 UTC,1.8112984777010996,142855995.26748666,867050.9226043017
2024-12-22 00:00:00 UTC,1.739154545945322,137368438.90486756,370803.95801124605
2024-12-23 00:00:00 UTC,1.6449122900118227,129917479.8927876,228588.9208067514
2024-12-24 00:00:00 UTC,1.7513512748615851,138532024.68364665,342949.6765682859
2024-12-25 00:00:00 UTC,1.7510642779883456,138238415.9299218,419046.32784163987
2024-12-26 00:00:00 UTC,1.7483990943288275,138159687.09364715,328108.9809497498
2024-12-27 00:00:00 UTC,1.6432775242550628,129916299.43671374,429268.7474487924
2024-12-28 00:00:00 UTC,1.6681129697748343,132045400.80714072,372615.139388844
2024-12-29 00:00:00 UTC,1.6764194897248974,132590987.49188359,377928.74563663575
2024-12-30 00:00:00 UTC,1.6208485105652533,128180276.13927446,253584.20007161758
2024-12-31 00:00:00 UTC,1.600879737087713,126771313.4148189,352499.77016140876
2025-01-01 00:00:00 UTC,1.5795480453686812,124991545.90321203,420884.16177710047
2025-01-02 00:00:00 UTC,1.6702808275289651,132126686.32506712,330531.61766766314
2025-01-03 00:00:00 UTC,1.7397299021301995,137684164.96859196,375298.41072111676
2025-01-04 00:00:00 UTC,1.961882288577523,155040269.8860601,684014.5087178072
2025-01-05 00:00:00 UTC,1.945450506712997,153794242.74285325,356477.1459307388
2025-01-06 00:00:00 UTC,2.022286897639002,160267948.64758483,432198.7525480888
2025-01-07 00:00:00 UTC,1.9600429066219056,155062232.22450787,325394.4300909203
2025-01-08 00:00:00 UTC,1.7820055470270415,141122416.99642295,644621.2311040073
2025-01-09 00:00:00 UTC,1.7127031365948162,135747256.46727088,581041.3087458784
2025-01-10 00:00:00 UTC,1.6591022922012544,131523944.8893147,300472.8300261733
2025-01-11 00:00:00 UTC,1.6759577687944254,132854631.01211344,598539.1117016795
2025-01-12 00:00:00 UTC,1.7706815889473122,140347787.68244907,625276.6309967708
2025-01-13 00:00:00 UTC,1.6963108730379213,134454042.81685475,263583.73001286114
2025-01-14 00:00:00 UTC,1.7094472504954699,135774400.0046864,338143.5030227291
2025-01-15 00:00:00 UTC,1.7630623959007712,139878279.14233473,321272.57456082123
2025-01-16 00:00:00 UTC,1.7981693405843828,142682601.34810612,594944.6882166736
2025-01-17 00:00:00 UTC,1.8804774144226581,149109822.8993666,437098.22119961015
2025-01-18 00:00:00 UTC,1.929903176180198,153123584.9138446,299378.7007203641
2025-01-19 00:00:00 UTC,1.8002978852091047,142760782.84030384,490443.86473230325
2025-01-20 00:00:00 UTC,1.6318232439044777,130779049.78480124,1074008.2502845298
2025-01-21 00:00:00 UTC,1.6162427514409305,128264493.29327004,779058.4660329233
2025-01-22 00:00:00 UTC,1.594696040578191,126604184.8501588,230416.24621507453
2025-01-23 00:00:00 UTC,1.5069599533240918,119678529.22072826,237199.50097921214
2025-01-24 00:00:00 UTC,1.5370320703324596,121969668.91332503,489394.3212632284
2025-01-25 00:00:00 UTC,1.588198414618673,126150576.12213622,309187.180093942
2025-01-26 00:00:00 UTC,1.5487296236709023,123072210.5578203,258249.42156097342
2025-01-27 00:00:00 UTC,1.5057919256477086,119900259.49776176,167171.08215567167
2025-01-28 00:00:00 UTC,1.4232702540642168,113106881.40233627,358983.27483494906
2025-01-29 00:00:00 UTC,1.406103313065944,111700800.56376098,232463.07045422174
2025-01-30 00:00:00 UTC,1.4318927663240357,113837011.50458363,164610.79299004568
2025-01-31 00:00:00 UTC,1.4163186909496268,112607278.48770574,199213.14874071797
2025-02-01 00:00:00 UTC,1.3633626985053502,108383914.75114506,322094.2801217271
